route_id,stop_sequence
ee,"1,2,23,17,18,19,20,21,16,22,3"
lx,"1,2,3,12,13,14"
rexl,"17,18,16,12,13"
rexb,"17,18,16,6,8,7"
c,"5,6,8,7"
a,"1,2,3,5,6,9,10,27"
h,"1,2,3,11,10,8,7,5"
b,"12,13,14,6,9,10"
bhe,"13,14,15,10,8,7,12"
f,"17,18,16,3,2"
wknd1,"1,2,3,6,9,10,12,13,14,4,17,18,19,20,21,16,22,3"
wknd2,"1,2,23,17,18,19,20,21,16,3,12,13,14,10,8,7"
ftbl,"24,25"
all,"1,2,3,6,9,10,12,13,14,4,17,18,19,20,21,16,22,3"
on1,"1,2,3,6,9,10,12,13,14,4,17,18,19,20,21,16,22,3"
on2,"1,2,23,17,18,19,20,21,16,3,12,13,14,10,8,7"
winter1,"1,2,3,6,9,10,12,13,14,4,17,18,19,20,21,16,22,3"
winter2,"1,2,23,17,18,19,20,21,16,3,12,13,14,10,8,7"
bl,"24,13,14,10,26,5,6,9"
summer1,"1,2,3,6,9,10,12,13,14,4,17,18,19,20,21,16,22,3"
summer2,"1,2,23,17,18,19,20,21,16,3,12,13,14,10,8,7"
commencement,"24,25"
cc,"1,2,4,6,8,9,10,11,12,13,14"
ccx,"1,8,10,11"
ps,"15,8,16,7,17,18,5,3,19"
psx,"15,8,16"
cam,"1,2,3,4,5,6"